index,Date,Open,High,Low,Close,volume,oi
388,2017-09-15,24840.3,24916.85,24791.55,24844.3,0,0
389,2017-09-18,24948.15,25105.35,24941.75,25046.9,0,0
390,2017-09-19,25059.75,25103.45,24993.0,25041.55,0,0
391,2017-09-20,24984.65,25052.6,24938.3,24965.05,0,0
392,2017-09-21,24934.1,24992.5,24706.45,24799.25,0,0
393,2017-09-22,24704.55,24709.7,24340.0,24368.85,0,0
394,2017-09-25,24361.55,24363.8,24015.45,24165.05,0,0
395,2017-09-26,24105.6,24236.95,24017.4,24199.15,0,0
396,2017-09-27,24308.7,24331.85,23766.6,23812.95,0,0
397,2017-09-28,23804.05,24074.2,23611.1,24008.15,0,0
398,2017-09-29,24114.0,24227.45,24004.8,24053.0,0,0
399,2017-10-03,24200.6,24226.8,24007.25,24103.4,0,0
400,2017-10-04,24124.15,24230.45,24058.65,24113.3,0,0
401,2017-10-05,24114.75,24188.3,24033.35,24058.05,0,0
402,2017-10-06,24083.55,24242.05,24074.35,24190.0,0,0
403,2017-10-09,24209.55,24311.1,24156.05,24251.9,0,0
404,2017-10-10,24304.8,24379.75,24273.65,24347.45,0,0
405,2017-10-11,24411.45,24460.25,24054.25,24107.45,0,0
406,2017-10-12,24151.45,24393.4,23978.4,24361.25,0,0
407,2017-10-13,24411.1,24779.75,24387.8,24689.15,0,0
408,2017-10-16,24815.4,24878.65,24516.55,24703.05,0,0
409,2017-10-17,24697.25,24809.15,24571.85,24645.6,0,0
410,2017-10-18,24354.75,24454.65,24270.05,24313.75,0,0
411,2017-10-19,24238.4,24255.3,23923.7,24009.75,0,0
412,2017-10-23,24085.45,24151.0,23912.55,24088.9,0,0
413,2017-10-24,24141.95,24293.25,24032.65,24222.15,0,0
414,2017-10-25,24980.65,25157.8,24560.75,25035.9,0,0
415,2017-10-26,24953.95,25186.05,24864.6,25022.2,0,0
416,2017-10-27,24887.6,24995.7,24798.65,24839.55,0,0
417,2017-10-30,24873.65,25064.85,24808.55,24988.55,0,0
418,2017-10-31,25042.1,25078.65,24948.1,25019.35,0,0
419,2017-11-01,25197.3,25549.35,25171.75,25490.45,0,0
420,2017-11-02,25508.4,25598.75,25405.5,25427.3,0,0
421,2017-11-03,25531.4,25695.5,25394.95,25650.7,0,0
422,2017-11-06,25569.0,25694.6,25529.5,25571.15,0,0
423,2017-11-07,25669.1,25695.75,25248.95,25300.8,0,0
424,2017-11-08,25375.8,25435.6,25119.5,25184.35,0,0
425,2017-11-09,25281.0,25385.2,25166.15,25291.35,0,0
426,2017-11-10,25250.9,25598.55,25237.2,25498.95,0,0
427,2017-11-13,25570.25,25611.55,25337.25,25358.3,0,0
428,2017-11-14,25352.55,25404.8,25223.1,25284.6,0,0
429,2017-11-15,25241.65,25318.05,25166.35,25218.9,0,0
430,2017-11-16,25292.9,25496.05,25273.7,25446.6,0,0
431,2017-11-17,25875.7,25924.9,25679.55,25728.4,0,0
432,2017-11-20,25733.7,25803.15,25681.7,25768.6,0,0
433,2017-11-21,25829.3,25871.1,25726.5,25757.5,0,0
434,2017-11-22,25805.65,25831.95,25665.85,25766.65,0,0
435,2017-11-23,25826.3,25838.55,25620.95,25736.25,0,0
436,2017-11-24,25776.6,25849.0,25749.1,25779.65,0,0
437,2017-11-27,25693.05,25931.85,25673.5,25891.95,0,0
438,2017-11-28,25830.45,25953.5,25795.5,25846.4,0,0
