symbol,company,industry,score,momentum,positive,negative,band,rank,price
GODREJIND,Godrej Industries Ltd.,Diversified,14.64,2.82,52.1,46.3,Weak (0-40),149,1226.85
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,30.54,6.84,49.6,47.1,Weak (0-40),150,586.35
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,58.16,15.84,47.1,51.2,Average (40-60),151,1207.8
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,71.55,23.58,44.6,53.7,Good (60-80),152,1726.7
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,45.19,10.57,47.9,49.6,Average (40-60),153,304.35
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,20.5,4.14,51.2,47.1,Weak (0-40),154,1151.7
BIOCON,Biocon Ltd.,Healthcare,5.44,0.96,52.1,45.5,Weak (0-40),155,382.25
JSWENERGY,JSW Energy Ltd.,Power,26.78,5.8,50.4,47.9,Weak (0-40),156,575.9
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,49.79,12.37,47.9,50.4,Average (40-60),157,574.1
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,65.27,20.29,45.5,52.9,Good (60-80),158,525.5
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,35.98,7.97,49.6,49.6,Weak (0-40),159,3407.0
GRAVITA,Gravita India Ltd.,Metals & Mining,36.82,8.04,48.8,49.6,Weak (0-40),160,1798.9
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,69.04,22.28,43.7,55.5,Good (60-80),161,741.0
MEESHO,Meesho Ltd.,Consumer Services,63.18,18.89,44.4,53.5,Good (60-80),162,198.79
MFSL,Max Financial Services Ltd.,Financial Services,20.08,4.14,50.4,47.9,Weak (0-40),163,1707.4
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,48.12,11.69,47.1,51.2,Average (40-60),164,452.85
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,42.26,9.29,48.7,51.3,Average (40-60),165,432.2
MMTC,MMTC Ltd.,Services,37.66,8.4,47.9,50.4,Weak (0-40),166,66.82
NTPCGREEN,NTPC Green Energy Ltd.,Power,38.08,8.4,47.9,50.4,Weak (0-40),167,109.26
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,32.64,7.18,48.8,49.6,Weak (0-40),168,510.6
FLUOROCHEM,Gujarat Fluorochemicals Ltd.,Chemicals,27.2,5.82,48.8,49.6,Weak (0-40),169,3798.4
IFCI,IFCI Ltd.,Financial Services,46.03,11.03,46.3,51.2,Average (40-60),170,63.88
ANTHEM,Anthem Biosciences Ltd.,Healthcare,44.77,10.53,46.3,52.1,Average (40-60),171,779.45
