Ticker,Positive,Negative,Momentum,ISIN Code,Rank_Mom,FIP,FIP_rank,Combined_Rank,Real_Rank,End_Date
DIVISLAB,56.557377049180324,43.44262295081967,41.35362934543283,INE361B01024,15.0,-13.114754098360656,9.0,24.0,6,2020-05-01
SRF,57.377049180327866,42.62295081967213,35.658741376169424,INE647A01010,21.0,-14.754098360655739,4.0,25.0,7,2020-05-01
GRANULES,54.91803278688525,45.08196721311475,45.761044942039895,INE101D01020,11.0,-9.836065573770497,16.0,27.0,8,2020-05-01
ABBOTINDIA,53.278688524590166,46.72131147540984,55.13983347744676,INE358A01014,7.0,-6.5573770491803245,24.0,31.0,9,2020-05-01
COROMANDEL,58.19672131147541,40.16393442622951,29.53037544945385,INE169A01031,31.0,-18.032786885245898,2.0,33.0,10,2020-05-01
NAVINFLUOR,52.459016393442624,47.540983606557376,92.56166911989293,INE048G01026,3.0,-4.918032786885249,33.0,36.0,11,2020-05-01
LAURUSLABS,52.459016393442624,43.44262295081967,36.2877999574249,INE947Q01028,20.0,-9.016393442622956,18.0,38.0,12,2020-05-01
AUROPHARMA,53.278688524590166,46.72131147540984,43.875222056488774,INE406A01037,12.0,-6.5573770491803245,28.0,40.0,13,2020-05-01
DRREDDY,52.459016393442624,47.540983606557376,46.51837157175558,INE089A01031,10.0,-4.918032786885249,31.0,41.0,14,2020-05-01
DMART,54.09836065573771,45.90163934426229,35.63216087310395,INE192R01011,22.0,-8.196721311475414,20.0,42.0,15,2020-05-01
IGL,56.557377049180324,43.44262295081967,24.16453445586233,INE203G01027,36.0,-13.114754098360656,10.0,46.0,16,2020-05-01
BHARTIARTL,52.459016393442624,47.540983606557376,41.0992741360872,INE397D01024,16.0,-4.918032786885249,30.0,46.0,17,2020-05-01
TANLA,50.0,48.36065573770492,50.1882576218142,INE483C01032,8.0,-1.639344262295083,44.0,52.0,18,2020-05-01
GUJGASLTD,54.91803278688525,44.26229508196721,23.256113179480685,INE844O01030,38.0,-10.655737704918039,14.0,52.0,19,2020-05-01
ALKEM,53.278688524590166,46.72131147540984,32.120264409490275,INE540L01014,27.0,-6.5573770491803245,26.0,53.0,20,2020-05-01
ADANIGREEN,59.50413223140496,40.49586776859504,82.76228995052111,INE364U01010,4.0,-19.00826446280992,2.0,6.0,1,2020-06-01
ALKYLAMINE,57.02479338842975,42.97520661157025,100.29049187819541,INE150B01039,2.0,-14.049586776859499,7.0,9.0,2,2020-06-01
JBCHEPHARM,57.85123966942148,41.32231404958678,75.03421086775226,INE572A01036,6.0,-16.528925619834702,4.0,10.0,3,2020-06-01
ESCORTS,57.85123966942148,42.14876033057851,57.07590801710478,INE042A01014,8.0,-15.70247933884297,6.0,14.0,4,2020-06-01
DIXON,57.02479338842975,42.97520661157025,52.03180588163545,INE935N01020,11.0,-14.049586776859499,8.0,19.0,5,2020-06-01
APLLTD,56.19834710743802,43.80165289256198,56.301448017404574,INE901L01018,9.0,-12.396694214876035,10.0,19.0,6,2020-06-01
COROMANDEL,57.02479338842975,41.32231404958678,47.26891044374779,INE169A01031,17.0,-15.70247933884297,5.0,22.0,7,2020-06-01
AUROPHARMA,54.54545454545454,45.45454545454545,75.38230345844237,INE406A01037,5.0,-9.090909090909086,22.0,27.0,8,2020-06-01
MUTHOOTFIN,56.19834710743802,43.80165289256198,49.10246430131642,INE414G01012,14.0,-12.396694214876035,14.0,28.0,9,2020-06-01
DIVISLAB,56.19834710743802,43.80165289256198,44.15611269381374,INE361B01024,20.0,-12.396694214876035,13.0,33.0,10,2020-06-01
BAYERCROP,56.19834710743802,43.80165289256198,42.23885637587366,INE462A01022,23.0,-12.396694214876035,12.0,35.0,11,2020-06-01
NAVINFLUOR,52.892561983471076,47.107438016528924,103.62876377192958,INE048G01026,1.0,-5.785123966942152,35.0,36.0,12,2020-06-01
DMART,55.371900826446286,44.62809917355372,45.58956895281951,INE192R01011,19.0,-10.743801652892564,18.0,37.0,13,2020-06-01
PIDILITIND,58.67768595041323,41.32231404958678,23.612285863990046,INE318A01026,36.0,-17.355371900826448,3.0,39.0,14,2020-06-01
LAURUSLABS,53.71900826446281,42.14876033057851,40.861316024533934,INE947Q01028,24.0,-11.570247933884296,16.0,40.0,15,2020-06-01
DEEPAKNTR,53.71900826446281,46.28099173553719,48.045097732825546,INE288B01029,15.0,-7.4380165289256155,30.0,45.0,16,2020-06-01
IRCTC,52.066115702479344,47.107438016528924,60.131111713092956,INE335Y01020,7.0,-4.95867768595042,38.0,45.0,17,2020-06-01
ALOKINDS,54.6875,45.3125,36.31241167840695,INE270A01029,27.0,-9.375,21.0,48.0,18,2020-06-01
BALKRISIND,55.371900826446286,44.62809917355372,28.358887931853637,INE787D01026,32.0,-10.743801652892564,17.0,49.0,19,2020-06-01
POLYMED,52.066115702479344,47.107438016528924,55.6595379931353,INE205C01021,10.0,-4.95867768595042,39.0,49.0,20,2020-06-01
ALOKINDS,66.27906976744185,33.72093023255814,272.83286653661577,INE270A01029,1.0,-32.558139534883715,1.0,2.0,1,2020-07-01
ADANIGREEN,61.47540983606557,38.52459016393443,98.40661652655042,INE364U01010,7.0,-22.950819672131146,2.0,9.0,2,2020-07-01
BAYERCROP,59.01639344262295,40.98360655737705,75.1135553695078,INE462A01022,14.0,-18.032786885245898,4.0,18.0,3,2020-07-01
ESCORTS,59.01639344262295,40.98360655737705,76.77430209713307,INE042A01014,13.0,-18.032786885245898,5.0,18.0,4,2020-07-01
JBCHEPHARM,59.83606557377049,38.52459016393443,69.75701315851579,INE572A01036,16.0,-21.311475409836063,3.0,19.0,5,2020-07-01
APLLTD,57.377049180327866,42.62295081967213,63.07660108486295,INE901L01018,17.0,-14.754098360655739,7.0,24.0,6,2020-07-01
COROMANDEL,57.377049180327866,40.98360655737705,54.401467992731156,INE169A01031,19.0,-16.393442622950815,6.0,25.0,7,2020-07-01
ALKYLAMINE,54.09836065573771,45.90163934426229,105.88585320415014,INE150B01039,4.0,-8.196721311475414,23.0,27.0,8,2020-07-01
LAURUSLABS,55.73770491803278,40.98360655737705,49.720895362008896,INE947Q01028,22.0,-14.754098360655732,9.0,31.0,9,2020-07-01
DIXON,57.377049180327866,42.62295081967213,49.284384476514,INE935N01020,23.0,-14.754098360655739,8.0,31.0,10,2020-07-01
SUZLON,48.36065573770492,40.16393442622951,144.0620284754822,INE040H01021,2.0,-8.196721311475407,30.0,32.0,11,2020-07-01
DMART,55.73770491803278,44.26229508196721,46.98987888053458,INE192R01011,25.0,-11.475409836065573,15.0,40.0,12,2020-07-01
AUROPHARMA,53.278688524590166,46.72131147540984,83.77680445180107,INE406A01037,10.0,-6.5573770491803245,34.0,44.0,13,2020-07-01
MUTHOOTFIN,54.09836065573771,45.90163934426229,62.63220355089247,INE414G01012,18.0,-8.196721311475414,28.0,46.0,14,2020-07-01
ZYDUSLIFE,54.91803278688525,44.26229508196721,44.26112942488436,INE010B01027,28.0,-10.655737704918039,18.0,46.0,15,2020-07-01
BALKRISIND,55.73770491803278,44.26229508196721,31.69157223108927,INE787D01026,41.0,-11.475409836065573,14.0,55.0,16,2020-07-01
GLENMARK,55.73770491803278,44.26229508196721,31.729962814806466,INE935A01035,40.0,-11.475409836065573,16.0,56.0,17,2020-07-01
JINDALSTEL,56.557377049180324,42.62295081967213,25.133815778275405,INE749A01030,50.0,-13.934426229508198,10.0,60.0,18,2020-07-01
IDEA,45.0,42.5,101.3711633512774,INE669E01016,6.0,-2.5,57.0,63.0,19,2020-07-01
TORNTPHARM,54.09836065573771,45.90163934426229,32.82720804478576,INE685A01028,38.0,-8.196721311475414,29.0,67.0,20,2020-07-01
LAURUSLABS,59.01639344262295,37.704918032786885,127.01285945617448,INE947Q01028,3.0,-21.311475409836063,3.0,6.0,1,2020-08-01
ALOKINDS,59.63302752293578,40.36697247706422,144.34244360591765,INE270A01029,2.0,-19.266055045871553,5.0,7.0,2,2020-08-01
ADANIGREEN,60.65573770491803,39.34426229508197,82.85061456533268,INE364U01010,10.0,-21.311475409836063,2.0,12.0,3,2020-08-01
RPOWER,55.73770491803278,40.16393442622951,86.92778953214156,INE614G01033,8.0,-15.573770491803273,8.0,16.0,4,2020-08-01
MUTHOOTFIN,55.73770491803278,44.26229508196721,88.34409339603314,INE414G01012,7.0,-11.475409836065573,17.0,24.0,5,2020-08-01
ALKYLAMINE,54.91803278688525,45.08196721311475,79.19023862251096,INE150B01039,11.0,-9.836065573770497,18.0,29.0,6,2020-08-01
JBCHEPHARM,59.01639344262295,39.34426229508197,53.06318080422445,INE572A01036,27.0,-19.67213114754098,4.0,31.0,7,2020-08-01
DIXON,56.557377049180324,43.44262295081967,57.82255723088554,INE935N01020,21.0,-13.114754098360656,10.0,31.0,8,2020-08-01
APLLTD,56.557377049180324,43.44262295081967,54.7811660474979,INE901L01018,23.0,-13.114754098360656,9.0,32.0,9,2020-08-01
GLENMARK,58.19672131147541,41.80327868852459,52.590629003186294,INE935A01035,29.0,-16.393442622950815,6.0,35.0,10,2020-08-01
JINDALSTEL,57.377049180327866,41.80327868852459,42.3201854296964,INE749A01030,40.0,-15.573770491803273,7.0,47.0,11,2020-08-01
ZYDUSLIFE,54.91803278688525,45.08196721311475,53.84778844755467,INE010B01027,25.0,-9.836065573770497,22.0,47.0,12,2020-08-01
SYNGENE,54.09836065573771,45.90163934426229,54.36122070469249,INE398R01022,24.0,-8.196721311475414,29.0,53.0,13,2020-08-01
ESCORTS,54.91803278688525,45.08196721311475,46.25934924924553,INE042A01014,35.0,-9.836065573770497,19.0,54.0,14,2020-08-01
BSOFT,53.278688524590166,45.08196721311475,50.96971677662376,INE836A01035,31.0,-8.196721311475414,26.0,57.0,15,2020-08-01
INFY,55.73770491803278,43.44262295081967,37.362727935377094,INE009A01021,46.0,-12.295081967213115,11.0,57.0,16,2020-08-01
RELIANCE,54.09836065573771,45.08196721311475,50.03520550038638,INE002A01018,34.0,-9.016393442622956,24.0,58.0,17,2020-08-01
AUROPHARMA,51.63934426229508,48.36065573770492,97.16625625790138,INE406A01037,5.0,-3.278688524590166,54.0,59.0,18,2020-08-01
DEEPAKNTR,52.459016393442624,47.540983606557376,61.87481817858027,INE288B01029,16.0,-4.918032786885249,44.0,60.0,19,2020-08-01
COROMANDEL,54.91803278688525,43.44262295081967,33.987318158656656,INE169A01031,47.0,-11.47540983606558,13.0,60.0,20,2020-08-01
ADANIGREEN,64.22764227642277,35.77235772357724,193.78730843991133,INE364U01010,3.0,-28.455284552845534,1.0,4.0,1,2020-09-01
LAURUSLABS,61.78861788617886,37.39837398373984,164.00403552160293,INE947Q01028,6.0,-24.390243902439025,2.0,8.0,2,2020-09-01
CGPOWER,54.47154471544715,36.58536585365854,184.9313683359034,INE067A01029,4.0,-17.886178861788615,10.0,14.0,3,2020-09-01
