Date,Open,High,Low,Close,Volume
2018-07-11,465.9,473.15,462.65,472.15,19063158
2018-07-12,474.7,499.55,473.9,492.0,53040454
2018-07-13,491.1,504.1,490.9,499.9,39528020
2018-07-16,499.9,504.05,487.75,489.15,14510718
2018-07-17,490.15,498.15,486.2,496.55,14232364
2018-07-18,499.25,502.1,489.65,496.6,10300618
2018-07-19,496.95,506.85,493.8,502.2,11953958
2018-07-20,506.1,517.5,505.4,513.05,17639930
2018-07-23,513.55,513.55,505.95,509.25,12853492
2018-07-24,510.0,512.15,503.4,505.0,9832116
2018-07-25,504.55,510.45,501.9,506.9,13089296
2018-07-26,504.6,509.8,503.55,504.85,14134708
2018-07-27,508.9,517.0,505.5,513.6,14694830
2018-07-30,513.6,526.05,512.7,523.4,30519428
2018-07-31,523.15,541.1,521.4,539.1,30525830
2018-08-01,541.1,546.8,538.8,541.95,21349450
2018-08-02,541.6,541.6,529.95,531.1,13747746
2018-08-03,534.1,537.95,531.6,534.95,14619874
2018-08-06,534.85,543.6,534.25,542.1,8836120
2018-08-07,543.15,546.1,535.0,538.3,8930812
2018-08-08,538.6,555.65,538.6,553.5,17407362
2018-08-09,555.2,559.85,550.9,553.6,15063242
2018-08-10,550.45,552.3,546.5,547.35,7878662
2018-08-13,544.35,545.4,537.6,539.85,10269950
2018-08-14,540.9,553.3,538.35,550.3,11658980
2018-08-16,546.9,552.7,543.4,545.85,13161478
2018-08-17,549.55,552.45,545.45,547.15,8428182
2018-08-20,549.05,562.15,548.9,561.3,16735480
2018-08-21,562.35,568.9,557.7,566.9,16015210
2018-08-23,566.5,579.1,562.9,577.05,17529870
2018-08-24,575.15,581.8,572.75,580.65,14634412
2018-08-27,581.55,589.05,581.25,587.05,12258790
2018-08-28,589.1,601.4,588.6,599.55,19128452
2018-08-29,598.35,604.1,586.45,588.3,24369846
2018-08-30,588.0,589.65,577.45,579.3,21670092
2018-08-31,577.3,577.3,562.1,564.4,33672886
2018-09-03,565.9,571.8,557.3,558.7,26840048
2018-09-04,561.4,570.35,558.6,564.55,19445294
2018-09-05,564.8,569.4,549.35,557.7,22714830
2018-09-06,559.15,575.35,556.95,573.4,24629094
2018-09-07,574.95,582.45,570.2,581.2,23524132
2018-09-10,579.55,580.45,568.2,570.85,15529818
2018-09-11,572.3,576.55,561.05,562.6,23924490
2018-09-12,569.0,572.15,558.6,569.35,17744216
2018-09-14,572.45,579.85,567.15,569.65,17332882
2018-09-17,568.55,568.55,555.3,557.2,14858990
2018-09-18,557.3,563.4,551.95,553.25,16756106
2018-09-19,556.4,556.4,545.9,550.35,24784730
2018-09-21,554.1,562.45,537.95,553.4,41954378
2018-09-24,552.05,563.6,547.5,560.05,22225696
2018-09-25,561.6,565.9,543.15,559.4,21373044
